time_s,throttle,setpoint,brake,speed_m_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2
0.0000,0.0000,0.0000,0.0001,0.0004,-0.0269,0.0250,-5.2621
0.0100,0.0000,0.0000,0.0002,0.0008,-0.0231,0.0431,-3.4177
0.0200,0.0000,0.0000,0.0003,0.0012,-0.0201,0.0324,-2.7683
0.0300,0.0000,0.0000,0.0004,0.0015,-0.0172,0.0200,-2.2121
0.0400,0.0000,0.0000,0.0005,0.0017,-0.0143,0.0133,-1.7219
0.0500,0.0000,0.0000,0.0005,0.0018,-0.0115,0.0065,-1.3118
0.0600,0.0000,0.0000,0.0005,0.0019,-0.0092,0.0018,-0.9596
0.0700,0.0000,0.0000,0.0005,0.0019,-0.0069,-0.0002,-0.6539
0.0800,0.0000,0.0000,0.0005,0.0019,-0.0048,-0.0019,-0.3984
0.0900,0.0000,0.0000,0.0005,0.0019,-0.0032,-0.0047,-0.1850
0.1000,0.0000,0.0000,0.0005,0.0019,-0.0015,-0.0049,0.0010
0.1100,0.0000,0.0000,0.0005,0.0019,-0.0003,-0.0046,0.1436
0.1200,0.0000,0.0000,0.0005,0.0018,0.0009,-0.0058,0.2718
0.1300,0.0000,0.0000,0.0005,0.0018,0.0018,-0.0060,0.3694
0.1400,0.0000,0.0000,0.0005,0.0017,0.0026,-0.0045,0.4484
0.1500,0.0000,0.0000,0.0005,0.0017,0.0033,-0.0050,0.5121
0.1600,0.0000,0.0000,0.0005,0.0016,0.0039,-0.0056,0.5646
0.1700,0.0000,0.0000,0.0004,0.0015,0.0042,-0.0051,0.5981
0.1800,0.0000,0.0000,0.0004,0.0015,0.0045,-0.0051,0.6196
0.1900,0.0000,0.0000,0.0004,0.0014,0.0048,-0.0043,0.6382
0.2000,0.0000,0.0000,0.0004,0.0013,0.0051,-0.0041,0.6467
0.2100,0.0000,0.0000,0.0004,0.0013,0.0050,-0.0041,0.6464
0.2200,0.0000,0.0000,0.0004,0.0012,0.0050,-0.0039,0.6416
0.2300,0.0000,0.0000,0.0003,0.0012,0.0051,-0.0033,0.6390
0.2400,0.0000,0.0000,0.0003,0.0011,0.0051,-0.0025,0.6255
0.2500,0.0000,0.0000,0.0003,0.0010,0.0050,-0.0037,0.6087
0.2600,0.0000,0.0000,0.0003,0.0010,0.0048,-0.0029,0.5919
0.2700,0.0000,0.0000,0.0003,0.0009,0.0047,-0.0021,0.5741
0.2800,0.0000,0.0000,0.0003,0.0009,0.0046,-0.0025,0.5549
0.2900,0.0000,0.0000,0.0003,0.0008,0.0045,-0.0033,0.5315
0.3000,0.0000,0.0000,0.0003,0.0008,0.0042,-0.0029,0.5093
0.3100,0.0000,0.0000,0.0002,0.0007,0.0040,-0.0018,0.4898
0.3200,0.0000,0.0000,0.0002,0.0007,0.0040,-0.0015,0.4660
0.3300,0.0000,0.0000,0.0002,0.0006,0.0037,-0.0029,0.4437
0.3400,0.0000,0.0000,0.0002,0.0006,0.0035,-0.0016,0.4221
